,hippieName
IQEC2_HUMAN,1
DUS18_HUMAN,1
PCNA_HUMAN,1
PAPD5_HUMAN,1
TRM1_HUMAN,1
HBS1L_HUMAN,1
NEMF_HUMAN,1
RORA_HUMAN,1
DUS22_HUMAN,1
ZN695_HUMAN,1
RYR1_HUMAN,1
AZIN1_HUMAN,1
MPI_HUMAN,1
DNJB4_HUMAN,1
SUMO3_HUMAN,1
CA063_HUMAN,1
MAGH1_HUMAN,1
SCUB3_HUMAN,1
CTL4_HUMAN,1
TOR4A_HUMAN,1
PCDG3_HUMAN,1
MOT3_HUMAN,1
T10IP_HUMAN,1
TBCA_HUMAN,1
SAP_HUMAN,1
RABE2_HUMAN,1
JPH3_HUMAN,1
RN126_HUMAN,1
LRP2_HUMAN,1
SPT17_HUMAN,1
MBRL_HUMAN,1
SYWM_HUMAN,1
SNX7_HUMAN,1
CFTR_HUMAN,1
CADH7_HUMAN,1
I2BP1_HUMAN,1
VDAC3_HUMAN,1
BRCA2_HUMAN,1
CO6_HUMAN,1
PHF5A_HUMAN,1
ISK1_HUMAN,1
1A03_HUMAN,1
ARI3C_HUMAN,1
MRP5_HUMAN,1
SYT9_HUMAN,1
CE064_HUMAN,1
KKCC2_HUMAN,1
GTR12_HUMAN,1
NAA35_HUMAN,1
CAD20_HUMAN,1
SAHH3_HUMAN,1
PRS6B_HUMAN,1
HOOK3_HUMAN,1
NOTC4_HUMAN,1
ALX1_HUMAN,1
CTBP1_HUMAN,1
PANK4_HUMAN,1
PPIH_HUMAN,1
RAD1_HUMAN,1
DHB3_HUMAN,1
PSG2_HUMAN,1
MED12_HUMAN,1
K2022_HUMAN,1
COX18_HUMAN,1
HRK_HUMAN,1
SREC2_HUMAN,1
PRDX4_HUMAN,1
NKG2F_HUMAN,1
ZFHX3_HUMAN,1
DHX29_HUMAN,1
OR1C1_HUMAN,1
S38AA_HUMAN,1
MIRH1_HUMAN,1
CHST3_HUMAN,1
SYTL5_HUMAN,1
PSB3_HUMAN,1
UBP43_HUMAN,1
PGM2L_HUMAN,1
TBA1B_HUMAN,1
CRSPL_HUMAN,1
STAU1_HUMAN,1
AK1BA_HUMAN,1
S15A4_HUMAN,1
AMBP_HUMAN,1
HSPB7_HUMAN,1
MOS1_HUMAN,1
FBX30_HUMAN,1
SCND1_HUMAN,1
M3K13_HUMAN,1
CO8B_HUMAN,1
PRRP_HUMAN,1
ZFAN5_HUMAN,1
CXB4_HUMAN,1
CP2CI_HUMAN,1
HID1_HUMAN,1
CHSTE_HUMAN,1
RFIP2_HUMAN,1
FGF12_HUMAN,1
TMEDA_HUMAN,1
NADC_HUMAN,1
ZN317_HUMAN,1
LRCC1_HUMAN,1
